#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,Temperature (°C)
Pholiota molesta,Eukaryota;Fungi;Basidiomycetes,CBS 144467,SAMN05877770,PRJNA347042,GCA_014925825.1,Contig,66.0443,49.4,,JACGCK01,701,17823,2020-10-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/925/825/GCA_014925825.1_Phohig1,,
Crassisporium funariophilum,Eukaryota;Fungi;Basidiomycetes,CBS 144457,SAMN06310748,PRJNA370017,GCA_014925845.1,Contig,37.1172,48.7,,JACGCL01,41,13637,2020-10-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/925/845/GCA_014925845.1_Crafun1,,
Phtheirospermum japonicum,Eukaryota;Plants;Land Plants,okayama,SAMD00029051,PRJDB3858,GCA_014905375.1,Scaffold,1226.89,33,,BMAC01,10559,30330,2020-10-01T21:47:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/905/375/GCA_014905375.1_Pjver1,,
Trypoxylus dichotomus,Eukaryota;Animals;Insects,,SAMD00244835,PRJDB10500,GCA_014905495.1,Contig,739.405,36,,BNES01,2347,0,2020-10-07T21:24:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/905/495/GCA_014905495.1_ASM1490549v1,,
Apostasia ramifera,Eukaryota;Plants;Land Plants,MyAr1,SAMN15349797,PRJNA635894,GCA_019297695.1,Scaffold,346.615,33,,JAEMOT01,17082,0,2021-07-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/297/695/GCA_019297695.1_ASM1929769v1,,
Fusarium redolens,Eukaryota;Fungi;Ascomycetes,YP04,SAMN17312464,PRJNA692049,GCA_017562085.1,Contig,52.841,46.3866,mitochondrion MT:CM029818.1,JAFFJM01,41,0,2021-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/562/085/GCA_017562085.1_Fr_YP04,,25
Mortierella antarctica,Eukaryota;Fungi;Other Fungi,KOD1229,SAMN05720774,PRJNA340822,GCA_015849325.1,Scaffold,35.4555,51.5,,JAAAIB01,2186,10312,2020-12-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/849/325/GCA_015849325.1_UCR_MspKOD1229_1.0,,
Lactarius quietus,Eukaryota;Fungi;Basidiomycetes,S23C,SAMN02744097,PRJNA245616,GCA_015025155.1,Contig,115.902,49.5,,WITN01,2812,18941,2020-10-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/025/155/GCA_015025155.1_Lacqui1,,
Clavulina sp. PMI_390,Eukaryota;Fungi;Basidiomycetes,PMI_390,SAMN02744644,PRJNA243946,GCA_015039315.1,Scaffold,41.6285,49.7,,WIDE01,680,15449,2020-10-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/039/315/GCA_015039315.1_ClaPMI390,,
Amanita rubescens,Eukaryota;Fungi;Basidiomycetes,Prilba,SAMN12811777,PRJNA572471,GCA_015039365.1,Contig,76.5932,47.3,,WION01,817,16076,2020-10-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/039/365/GCA_015039365.1_Amarub1,,20
Cantharellus anzutake,Eukaryota;Fungi;Basidiomycetes,C23,SAMN02745813,PRJNA691513,GCA_015039405.1,Contig,120.174,49.2,,WJDU01,614,16961,2020-10-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/039/405/GCA_015039405.1_Cananz1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/039/405/GCF_015039405.1_Cananz1,
Nannizziopsis barbatae,Eukaryota;Fungi;Ascomycetes,USC001,SAMN16091849,PRJNA662660,GCA_014964245.1,Contig,31.5433,40.3841,mitochondrion MT:CM026550.1,JACVYH01,11,0,2020-10-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/964/245/GCA_014964245.1_Nbarb_1.0,,
Oreochromis tanganicae,Eukaryota;Animals;Fishes,JAB6,SAMN12123811,PRJNA550295,GCA_015052225.1,Scaffold,743.039,40.2,,VNLF01,54461,0,2020-10-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/052/225/GCA_015052225.1_JAB6.scf,,
Cyprichromis pavo,Eukaryota;Animals;Fishes,JEB2,SAMN12123846,PRJNA550295,GCA_015052265.1,Scaffold,684.651,40.4,,VNLH01,61225,0,2020-10-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/052/265/GCA_015052265.1_JEB2.scf,,
Hemibates koningsi,Eukaryota;Animals;Fishes,IZA5,SAMN12123797,PRJNA550295,GCA_015052305.1,Scaffold,725.817,40.5,,VNLE01,61069,0,2020-10-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/052/305/GCA_015052305.1_IZA5.scf,,
Lamprologus callipterus,Eukaryota;Animals;Fishes,IPH2,SAMN12123702,PRJNA550295,GCA_015052345.1,Scaffold,705.075,40.4,,VNKZ01,65861,0,2020-10-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/052/345/GCA_015052345.1_IPH2.scf,,
Neolamprologus prochilus,Eukaryota;Animals;Fishes,IVH1,SAMN12123768,PRJNA550295,GCA_015106535.1,Scaffold,682.294,40.3,,VVFO01,73984,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/106/535/GCA_015106535.1_IVH1.scf,,
Gnathochromis permaxillaris,Eukaryota;Animals;Fishes,ITA4,SAMN12123742,PRJNA550295,GCA_015104535.1,Scaffold,700.75,40.3,,VVER01,59230,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/104/535/GCA_015104535.1_ITA4.scf,,
Limnochromis abeelei,Eukaryota;Animals;Fishes,ITB4,SAMN12123746,PRJNA550295,GCA_015052385.1,Scaffold,694.209,40.3,,VNLA01,59113,0,2020-10-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/052/385/GCA_015052385.1_ITB4.scf,,
Altolamprologus calvus,Eukaryota;Animals;Fishes,IOE3,SAMN12123691,PRJNA550295,GCA_015052405.1,Scaffold,703.299,40.4,,VNKY01,71712,0,2020-10-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/052/405/GCA_015052405.1_IOE3.scf,,
Pseudosimochromis curvifrons,Eukaryota;Animals;Fishes,AYC7,SAMN12123616,PRJNA550295,GCA_015052425.1,Scaffold,705.94,40.4,,VNKU01,66352,0,2020-10-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/052/425/GCA_015052425.1_AYC7.scf,,
Cyprichromis zonatus,Eukaryota;Animals;Fishes,GPC9,SAMN12123638,PRJNA550295,GCA_015052445.1,Scaffold,696.218,40.5,,VNKV01,53621,0,2020-10-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/052/445/GCA_015052445.1_GPC9.scf,,
Lamprologus ocellatus,Eukaryota;Animals;Fishes,ILD3,SAMN12123656,PRJNA550295,GCA_015052485.1,Scaffold,683.075,40.3,,VNKX01,78701,0,2020-10-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/052/485/GCA_015052485.1_ILD3.scf,,
Gnathochromis pfefferi,Eukaryota;Animals;Fishes,AWB7,SAMN12123602,PRJNA550295,GCA_015052505.1,Scaffold,684.036,40.4,,VNKT01,58754,0,2020-10-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/052/505/GCA_015052505.1_AWB7.scf,,
Neolamprologus devosi,Eukaryota;Animals;Fishes,LEH2,SAMN12124066,PRJNA550295,GCA_015052545.1,Scaffold,710.808,40.5,,VOQO01,66828,0,2020-10-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/052/545/GCA_015052545.1_LEH2.scf,,
Pseudosimochromis marginatus,Eukaryota;Animals;Fishes,KCE7,SAMN12123978,PRJNA550295,GCA_015052565.1,Scaffold,706.278,40.4,,VOQM01,52804,0,2020-10-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/052/565/GCA_015052565.1_KCE7.scf,,
Benitochromis conjunctus,Eukaryota;Animals;Fishes,JWE4,SAMN12123899,PRJNA550295,GCA_015052645.1,Scaffold,665.781,40.6,,VOQK01,44281,0,2020-10-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/052/645/GCA_015052645.1_JWE4.scf,,
Neolamprologus pleuromaculatus,Eukaryota;Animals;Fishes,JZF2,SAMN12123963,PRJNA550295,GCA_015109975.1,Scaffold,710.437,40.4,,VUSU01,66532,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/109/975/GCA_015109975.1_JZF2.scf,,
Apistogramma diplotaenia,Eukaryota;Animals;Fishes,JWD9,SAMN12123895,PRJNA550295,GCA_015052665.1,Scaffold,627.074,42,,VOQJ01,48219,0,2020-10-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/052/665/GCA_015052665.1_JWD9.scf,,
Spathodus erythrodon,Eukaryota;Animals;Fishes,JUB6,SAMN12123860,PRJNA550295,GCA_015108895.1,Scaffold,693.558,40.3,,VUPF01,61337,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/108/895/GCA_015108895.1_JUB6.scf,,
Cebus imitator,Eukaryota;Animals;Mammals,Cc_AM_T3,SAMN04522148,PRJNA328123,GCA_001604975.1,Scaffold,2717.7,41,,LVWQ01,7156,55885,2016-03-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/604/975/GCA_001604975.1_Cebus_imitator-1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/604/975/GCF_001604975.1_Cebus_imitator-1.0,
Chaenogobius annularis,Eukaryota;Animals;Fishes,Asamushi_draft_2,SAMD00131633,PRJDB7125,GCA_015082035.1,Scaffold,747.41,41,,BJKM01,1897,0,2020-10-21T21:26:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/082/035/GCA_015082035.1_agohaze_1,,
Chalinochromis brichardi,Eukaryota;Animals;Fishes,AVA9,SAMN12123596,PRJNA550295,GCA_015102055.1,Scaffold,695.645,40.4,,VUZJ01,72547,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/055/GCA_015102055.1_AVA9.scf,,
Xenotilapia sima,Eukaryota;Animals;Fishes,IUF7,SAMN12123755,PRJNA550295,GCA_015102085.1,Scaffold,695.916,40.4,,WVVX01,73479,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/085/GCA_015102085.1_IUF7.scf,,
Lepidiolamprologus elongatus,Eukaryota;Animals;Fishes,8-Aug,SAMN12123594,PRJNA550295,GCA_015102115.1,Scaffold,686.381,40.3,,VUZH01,75032,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/115/GCA_015102115.1_AUG8.scf,,
Ctenochromis horei,Eukaryota;Animals;Fishes,AXA7,SAMN12123609,PRJNA550295,GCA_015103775.1,Scaffold,691.579,40.4,,VUZV01,59842,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/775/GCA_015103775.1_AXA7.scf,,
Neolamprologus fasciatus,Eukaryota;Animals;Fishes,AUE7,SAMN12123593,PRJNA550295,GCA_015102195.1,Scaffold,707.392,40.4,,VUZG01,70481,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/195/GCA_015102195.1_AUE7.scf,,
Variabilichromis moorii,Eukaryota;Animals;Fishes,AUC3,SAMN12123588,PRJNA550295,GCA_015102225.1,Scaffold,716.054,40.4,,VUZC01,63896,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/225/GCA_015102225.1_AUC3.scf,,
Pseudosimochromis babaulti,Eukaryota;Animals;Fishes,JUA4,SAMN12123859,PRJNA550295,GCA_015107015.1,Scaffold,715.582,40.4,,VUPE01,53783,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/107/015/GCA_015107015.1_JUA4.scf,,
Xenotilapia papilio,Eukaryota;Animals;Fishes,IVF4,SAMN12123766,PRJNA550295,GCA_015106585.1,Scaffold,711.027,40.5,,VVFM01,72013,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/106/585/GCA_015106585.1_IVF4.scf,,
Aulonocranus dewindti,Eukaryota;Animals;Fishes,AUA9,SAMN12123586,PRJNA550295,GCA_015102295.1,Scaffold,678.091,40.5,,VUZA01,73653,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/295/GCA_015102295.1_AUA9.scf,,
Neolamprologus nigriventris,Eukaryota;Animals;Fishes,A108,SAMN12123581,PRJNA550295,GCA_015102355.1,Scaffold,714.665,40.4,,VUYW01,68231,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/355/GCA_015102355.1_A108.scf,,
Neolamprologus hecqui,Eukaryota;Animals;Fishes,A142,SAMN12123582,PRJNA550295,GCA_015102335.1,Scaffold,715.079,40.4,,VUYX01,66868,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/335/GCA_015102335.1_A142.scf,,
Benthochromis tricoti,Eukaryota;Animals;Fishes,LDA7,SAMN12124044,PRJNA550295,GCA_015111415.1,Scaffold,675.406,40.3,,VUVV01,62715,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/111/415/GCA_015111415.1_LDA7.scf,,
Tilapia brevimanus,Eukaryota;Animals;Fishes,JWF9,SAMN12123913,PRJNA550295,GCA_015102415.1,Scaffold,746.799,40.6,,VXCN01,56581,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/415/GCA_015102415.1_JWF9.scf,,
Neolamprologus calliurus,Eukaryota;Animals;Fishes,ILA7,SAMN12123651,PRJNA550295,GCA_015103035.1,Scaffold,698.644,40.4,,VVBI01,68023,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/035/GCA_015103035.1_ILA7.scf,,
Neolamprologus sexfasciatus,Eukaryota;Animals;Fishes,IND7,SAMN12123677,PRJNA550295,GCA_015102515.1,Scaffold,688.85,40.3,,VVCH01,74286,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/515/GCA_015102515.1_IND7.scf,,
Xenotilapia nasus,Eukaryota;Animals;Fishes,IMF8,SAMN12123672,PRJNA550295,GCA_015102635.1,Scaffold,701.096,40.5,,VVCC01,68577,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/635/GCA_015102635.1_IMF8.scf,,
Neolamprologus modestus,Eukaryota;Animals;Fishes,IMH3,SAMN12123674,PRJNA550295,GCA_015102555.1,Scaffold,710.569,40.4,,VVCE01,66541,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/555/GCA_015102555.1_IMH3.scf,,
Telmatochromis temporalis,Eukaryota;Animals;Fishes,IMB4,SAMN12123668,PRJNA550295,GCA_015102735.1,Scaffold,683.389,40.3,,VVBY01,72516,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/735/GCA_015102735.1_IMB4.scf,,
Neolamprologus obscurus,Eukaryota;Animals;Fishes,IMA2,SAMN12123666,PRJNA550295,GCA_015102675.1,Scaffold,686.329,40.4,,VVBW01,72650,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/675/GCA_015102675.1_IMA2.scf,,
Lepidiolamprologus kendalli,Eukaryota;Animals;Fishes,IMD1,SAMN12123669,PRJNA550295,GCA_015102695.1,Scaffold,712.814,40.4,,VVBZ01,68616,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/695/GCA_015102695.1_IMD1.scf,,
Benthochromis melanoides,Eukaryota;Animals;Fishes,ILG3,SAMN12123662,PRJNA550295,GCA_015102775.1,Scaffold,691.445,40.3,,VVBS01,58184,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/775/GCA_015102775.1_ILG3.scf,,
Benthochromis horii,Eukaryota;Animals;Fishes,ILF8,SAMN12123661,PRJNA550295,GCA_015102815.1,Scaffold,691.641,40.3,,VVBR01,58247,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/815/GCA_015102815.1_ILF8.scf,,
Bathybates graueri,Eukaryota;Animals;Fishes,ILG7,SAMN12123663,PRJNA550295,GCA_015102795.1,Scaffold,707.44,40.3,,VVBT01,70388,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/795/GCA_015102795.1_ILG7.scf,,
Neolamprologus mustax,Eukaryota;Animals;Fishes,ILB4,SAMN12123652,PRJNA550295,GCA_015102955.1,Scaffold,695.925,40.4,,VVBJ01,70086,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/955/GCA_015102955.1_ILB4.scf,,
Bathybates leo,Eukaryota;Animals;Fishes,ILF7,SAMN12123660,PRJNA550295,GCA_015102875.1,Scaffold,683.124,40.3,,VVBQ01,84767,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/875/GCA_015102875.1_ILF7.scf,,
Neolamprologus brevis,Eukaryota;Animals;Fishes,ILB6,SAMN12123653,PRJNA550295,GCA_015103015.1,Scaffold,665.719,40.4,,VVBK01,80876,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/015/GCA_015103015.1_ILB6.scf,,
Orthochromis indermauri,Eukaryota;Animals;Fishes,HXC6,SAMN12123648,PRJNA550295,GCA_015103075.1,Scaffold,715.093,40.4,,VVBF01,68301,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/075/GCA_015103075.1_HXC6.scf,,
Julidochromis transcriptus,Eukaryota;Animals;Fishes,HFG1287,SAMN12123645,PRJNA550295,GCA_015103115.1,Scaffold,713.111,40.4,,VVBC01,63515,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/115/GCA_015103115.1_HFG1287.scf,,
Petrochromis fasciolatus,Eukaryota;Animals;Fishes,GPH7,SAMN12123644,PRJNA550295,GCA_015103155.1,Scaffold,673.261,40.2,,VVBB01,60938,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/155/GCA_015103155.1_GPH7.scf,,
Neolamprologus cylindricus,Eukaryota;Animals;Fishes,GPH2,SAMN12123643,PRJNA550295,GCA_015103235.1,Scaffold,711.904,40.4,,VVBA01,65457,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/235/GCA_015103235.1_GPH2.scf,,
Paracyprichromis nigripinnis,Eukaryota;Animals;Fishes,GPC4,SAMN12123636,PRJNA550295,GCA_015103275.1,Scaffold,701.603,40.4,,VVAV01,59042,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/275/GCA_015103275.1_GPC4.scf,,
Trematocara nigrifrons,Eukaryota;Animals;Fishes,IUE5,SAMN12123753,PRJNA550295,GCA_015104335.1,Scaffold,701.135,40.2,,VVFB01,109579,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/104/335/GCA_015104335.1_IUE5.scf,,
Bathybates fasciatus,Eukaryota;Animals;Fishes,ITH3,SAMN12123750,PRJNA550295,GCA_015104405.1,Scaffold,716.744,40.4,,VVEY01,65930,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/104/405/GCA_015104405.1_ITH3.scf,,
Trematochromis benthicola,Eukaryota;Animals;Fishes,DMD1,SAMN12123632,PRJNA550295,GCA_015103355.1,Scaffold,703.007,40.3,,VVAR01,57403,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/355/GCA_015103355.1_DMD1.scf,,
Ptychochromis oligocanthus,Eukaryota;Animals;Fishes,FPO1,SAMN12123633,PRJNA550295,GCA_015103295.1,Scaffold,707.022,39.6,,VVAS01,119860,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/295/GCA_015103295.1_FPO1.scf,,
Callochromis macrops,Eukaryota;Animals;Fishes,BND5,SAMN12123631,PRJNA550295,GCA_015103395.1,Scaffold,698.767,40.5,,VVAQ01,80240,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/395/GCA_015103395.1_BND5.scf,,
Xenotilapia tenuidentata,Eukaryota;Animals;Fishes,LHG6,SAMN12124107,PRJNA550295,GCA_015118035.1,Scaffold,710.603,40.5,,VUYD01,73694,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/118/035/GCA_015118035.1_LHG6.scf,,
Enantiopus melanogenys,Eukaryota;Animals;Fishes,BNC5,SAMN12123629,PRJNA550295,GCA_015103415.1,Scaffold,707.231,40.6,,VVAO01,78793,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/415/GCA_015103415.1_BNC5.scf,,
Trematocara variabile,Eukaryota;Animals;Fishes,Bel33,SAMN12123628,PRJNA550295,GCA_015103455.1,Scaffold,597.796,40,,VVAN01,133714,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/455/GCA_015103455.1_Bel33.scf,,
Ophthalmotilapia heterodonta,Eukaryota;Animals;Fishes,Bel12,SAMN12123623,PRJNA550295,GCA_015103535.1,Scaffold,683.285,40.5,,VVAI01,88601,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/535/GCA_015103535.1_Bel12.scf,,
Chalinochromis popelini,Eukaryota;Animals;Fishes,Bel09,SAMN12123622,PRJNA550295,GCA_015103555.1,Scaffold,689.824,40.4,,VVAH01,80053,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/555/GCA_015103555.1_Bel09.scf,,
Ophthalmotilapia nasuta,Eukaryota;Animals;Fishes,AXH8,SAMN12123615,PRJNA550295,GCA_015103715.1,Scaffold,692.59,40.5,,VVAB01,74589,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/715/GCA_015103715.1_AXH8.scf,,
Cyathopharynx furcifer,Eukaryota;Animals;Fishes,AYE5,SAMN12123617,PRJNA550295,GCA_015103655.1,Scaffold,693.095,40.5,,VVAC01,73432,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/655/GCA_015103655.1_AYE5.scf,,
Xenotilapia spiloptera,Eukaryota;Animals;Fishes,AXB5,SAMN12123610,PRJNA550295,GCA_015103795.1,Scaffold,695.907,40.5,,VUZW01,77387,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/795/GCA_015103795.1_AXB5.scf,,
Limnotilapia dardennii,Eukaryota;Animals;Fishes,AWI5,SAMN12123607,PRJNA550295,GCA_015103815.1,Scaffold,683.731,40.3,,VUZT01,57475,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/815/GCA_015103815.1_AWI5.scf,,
Petrochromis polyodon,Eukaryota;Animals;Fishes,AWB9,SAMN12123603,PRJNA550295,GCA_015103915.1,Scaffold,684.674,40.3,,VUZP01,58243,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/915/GCA_015103915.1_AWB9.scf,,
Lepidiolamprologus attenuatus,Eukaryota;Animals;Fishes,AVG5,SAMN12123600,PRJNA550295,GCA_015103955.1,Scaffold,696.192,40.4,,VUZN01,71640,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/955/GCA_015103955.1_AVG5.scf,,
Neolamprologus crassus,Eukaryota;Animals;Fishes,IVF1,SAMN12123765,PRJNA550295,GCA_015104075.1,Scaffold,696.71,40.4,,VVFL01,68238,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/104/075/GCA_015104075.1_IVF1.scf,,
Xenochromis hecqui,Eukaryota;Animals;Fishes,JAH7,SAMN12123822,PRJNA550295,GCA_015107655.1,Scaffold,706.075,40.3,,VVHL01,54697,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/107/655/GCA_015107655.1_JAH7.scf,,
Reganochromis calliurus,Eukaryota;Animals;Fishes,IUI4,SAMN12123758,PRJNA550295,GCA_015104255.1,Scaffold,688.23,40.4,,VVFF01,62563,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/104/255/GCA_015104255.1_IUI4.scf,,
Trematocara stigmaticum,Eukaryota;Animals;Fishes,IZE1,SAMN12123803,PRJNA550295,GCA_015107995.1,Scaffold,676.194,40,,VVGT01,96657,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/107/995/GCA_015107995.1_IZE1.scf,,
Trematocara macrostoma,Eukaryota;Animals;Fishes,IUD9,SAMN12123752,PRJNA550295,GCA_015104355.1,Scaffold,705.805,40.2,,VVFA01,97392,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/104/355/GCA_015104355.1_IUD9.scf,,
Limnochromis staneri,Eukaryota;Animals;Fishes,ITA6,SAMN12123743,PRJNA550295,GCA_015104515.1,Scaffold,715.887,40.4,,VVES01,52619,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/104/515/GCA_015104515.1_ITA6.scf,,
Bathybates vittatus,Eukaryota;Animals;Fishes,JDE6,SAMN12123837,PRJNA550295,GCA_015107455.1,Scaffold,703.167,40.3,,VVHZ01,78993,0,2020-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/107/455/GCA_015107455.1_JDE6.scf,,
